participant_id,test_id,block_number,ball_number,timestamp,ball_position_x,ball_position_y,ball_position_z,shortest_path_normalized_x,shortest_path_normalized_y,shortest_path_normalized_z,look_direction_normalized_x,look_direction_normalized_y,look_direction_normalized_z,result_location_x,result_location_y,result_location_z,target_type,distance_to_closest_target,smi_camera_raycast_x,smi_camera_raycast_y,smi_camera_raycast_z,smi_binocular_por_x,smi_binocular_por_y,smi_binocular_por_is_valid,smi_ipd,smi_ipd_is_valid,smi_left_por_x,smi_left_por_y,smi_left_por_is_valid,smi_right_por_x,smi_right_por_y,smi_right_por_is_valid,smi_left_basepoint_x,smi_left_basepoint_y,smi_left_basepoint_z,smi_left_basepoint_is_valid,smi_right_basepoint_x,smi_right_basepoint_y,smi_right_basepoint_z,smi_right_basepoint_is_valid,smi_left_gazedirection_x,smi_left_gazedirection_y,smi_left_gazedirection_z,smi_left_gazedirection_is_valid,smi_right_gazedirection_x,smi_right_gazedirection_y,smi_right_gazedirection_z,smi_right_gazedirection_is_valid,tobii_gazeray_isvalid,tobii_gazeray_origin_x,tobii_gazeray_origin_y,tobii_gazeray_origin_z,tobii_gazeray_direction_x,tobii_gazeray_direction_y,tobii_gazeray_direction_z,tobii_left_pupil_isvalid,tobii_left_pupildiameter,tobii_left_ray_isvalid,tobii_left_ray_origin_x,tobii_left_ray_origin_y,tobii_left_ray_origin_z,tobii_left_ray_direction_x,tobii_left_ray_direction_y,tobii_left_ray_direction_z,tobii_right_pupil_isvalid,tobii_right_pupildiameter,tobii_right_ray_isvalid,tobii_right_ray_origin_x,tobii_right_ray_origin_y,tobii_right_ray_origin_z,tobii_right_ray_direction_x,tobii_right_ray_direction_y,tobii_right_ray_direction_z,participant_head_position_x,participant_head_position_y,participant_head_position_z,participant_head_rotation_x,participant_head_rotation_y,participant_head_rotation_z,racket_knob_position_x,racket_knob_position_y,racket_knob_position_z,racket_knob_rotation_x,racket_knob_rotation_y,racket_knob_rotation_z
1,2,1,2,6.3806E+13,0.048829,2.450045,10.36652,-0.00302,0.03143,0.999501,-0.029729,-0.135028,0.990396,0,0,0,Not_Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0.1033074,1.756915,-11.7732,-0.1484183,-0.03685733,0.9882293,TRUE,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0.1157104,1.753902,-11.77165,7.760261,358.2806,0.6123461,0.2912542,1.107835,-11.61039,4.453132,41.57888,341.4801
1,2,1,2,6.3806E+13,0.054255,2.493995,10.19725,-0.002788,0.033667,0.999429,-0.028395,-0.134198,0.990548,0,0,0,Not_Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0.1153538,1.757394,-11.77272,-0.1458136,-0.03441565,0.9886988,TRUE,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0.1155434,1.75394,-11.77188,7.712233,358.358,0.6214691,0.2911564,1.107989,-11.61073,4.637867,41.67128,341.6564
1,2,1,2,6.3806E+13,0.05968,2.536733,10.02797,-0.002551,0.03588,0.999353,-0.026985,-0.133527,0.990678,0,0,0,Not_Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0.1301104,1.758031,-11.77196,-0.1380684,-0.02792454,0.9900257,TRUE,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0.1153268,1.754032,-11.77213,7.673427,358.4397,0.6385443,0.2911155,1.108262,-11.61103,4.81296,41.75354,341.8767
1,2,1,2,6.3806E+13,0.065106,2.57826,9.858697,-0.002311,0.03807,0.999272,-0.025637,-0.13287,0.990802,0,0,0,Not_Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0.1448189,1.758748,-11.77137,-0.09751646,-0.003612302,0.9952157,TRUE,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0.1151253,1.754171,-11.77231,7.635491,358.5178,0.6435253,0.2911161,1.108514,-11.61129,4.98489,41.80993,342.0399
1,2,1,2,6.3806E+13,0.070531,2.618577,9.689422,-0.002063,0.040236,0.999188,-0.023942,-0.132306,0.99092,0,0,0,Not_Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0.1353852,1.758512,-11.77201,-0.0215859,0.03667268,0.9990785,TRUE,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0.1148394,1.754344,-11.77243,7.602853,358.6159,0.6479283,0.2910072,1.108868,-11.61138,5.170434,41.93376,342.1687
1,2,1,2,6.3806E+13,0.075956,2.657681,9.520146,-0.001816,0.042382,0.9991,-0.022539,-0.131587,0.991048,0,0,0,Not_Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0.1336373,1.75864,-11.77234,-0.007089689,0.04071475,0.9991314,TRUE,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0.114661,1.754431,-11.77278,7.561315,358.6972,0.6334357,0.2910549,1.109353,-11.61178,5.323479,42.05138,342.2499
1,2,1,2,6.3806E+13,0.081382,2.695575,9.350871,-0.001562,0.0445,0.999008,-0.020877,-0.130641,0.99121,0,0,0,Not_Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0.130348,1.758556,-11.77269,-0.006658016,0.03874183,0.9992151,TRUE,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0.1144181,1.754632,-11.77297,7.506637,358.7934,0.6163251,0.2911571,1.109607,-11.61166,5.434487,42.22383,342.3446
1,2,1,2,6.3806E+13,0.086807,2.732258,9.181596,-0.001306,0.046598,0.998913,-0.019286,-0.130001,0.991326,0,0,0,Not_Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0.130046,1.758631,-11.77295,-0.006579646,0.04453262,0.998969,TRUE,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0.1142113,1.754747,-11.77314,7.469635,358.8854,0.5965494,0.2911141,1.109769,-11.61182,5.487067,42.36776,342.4423
1,2,1,2,6.3806E+13,0.092233,2.76773,9.012321,-0.001049,0.048674,0.998814,-0.017287,-0.129146,0.991475,0,0,0,Not_Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0.1294629,1.758775,-11.77317,-0.002699734,0.04305984,0.999057,TRUE,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0.1140629,1.754803,-11.77333,7.42023,359.0011,0.5691725,0.2909807,1.110053,-11.61203,5.475552,42.60365,342.2838
1,2,1,2,6.3806E+13,0.097658,2.801991,8.843045,-0.000779,0.050724,0.998712,-0.015694,-0.128713,0.991558,0,0,0,Not_Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0.1273051,1.758801,-11.77345,-0.001680224,0.0430279,0.9990641,TRUE,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0.1137327,1.754891,-11.77344,7.395207,359.0932,0.5457704,0.2911187,1.110112,-11.61242,5.366663,42.70066,342.1793
